index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Goreflood	100	1		2		12	10	axe	axe			5	5000	cred	cred		uni002				dmg%		120	170	bloody		1	1	wounds/lvl	8			skilltab	13	1	3	lifesteal		3	5	pierce-fire		3	5																									0
Lungreaver	100	1		2		15	14	2ax	double axe			5	5000				uni003				dmg%		130	180	slow		10	10	lifesteal		2	4	move1		15	15	sock		1	2																													0
Occam's Razor	100	1		2		27	23	mpi	military pick			5	5000				uni004				dmg%		140	190	deadly		15	25	allskills		1	1	aura	99	3	5	oskill	axe mastery	3	6	res-fire		10	20																									0
Deathflake	100	1		2		36	30	wax	war axe			5	5000	dgry	dgry		uni005				dmg%		175	200	dmg-max		10	20	reanimate	383	5	10	heal-kill		5	8	dmg-undead		100	200	att-undead		100	200																									0
Pure Rancor	100	1		2		42	38	9ha	hatchet			5	5000	dgrn	dgrn		uni006				dmg%		175	200	bar		1	1	swing2		20	20	res-pois		25	25	dmg-pois	100	466	466	hit-skill	decrepify	5	3	dur		45	45																					0
Edge of Forever	100	1		2		49	46	9ax	cleaver			5	5000				uni007				dmg%		180	210	allskills		1	1	gethit-skill	53	7	15	rep-dur	15			dmg-norm		15	35	res-pois-len		35	35																									0
Harvest of Souls	100	1		2		52	50	92a	twin axe			5	5000	blac	blac		uni008				dmg%		190	230	swing3		30	30	oskill	bone spirit	8	12	pierce-mag	 	8	12	dmg-undead		125	175	lifesteal		5	8	noheal		1	1																					0
Groundshatter	100	1		2		55	53	9mp	crowbill			5	5000				uni009				dmg%		200	240	hit-skill	234	8	17	fireskill		1	2	att		150	250	str		10	20	dmg-max		30	50	red-dmg		5	9	res-fire		25	35	res-cold		25	35													0
Antics of the Jester	100	1		2		60	57	9wa	naga			5	5000	dpur	dpur		uni010				dmg%		225	260	block		15	25	block1		15	15	res-all		15	30	extra-mag		5	10	balance3		55	55	sock		1	3																					0
Moon Blade	100	1		1		68	64	7ax	Small Crescent			5	5000	lblu	lblu		uni011				dmg%		190	280	vit%		3	5	heal-kill		2	4	balance1		20	20	hit-skill	Life Tap	5	12	swing3		30	40																									0
Axes , 2-Handed																																																																					0
Gracehunter	100	1		2		11	8	lax	large axe			5	5000				uni012				dmg%		100	150	swing2		10	20	gold%		50	75	manasteal		2	4																																	0
Mirth Bringer	100	1		2		17	14	bax	broad axe			5	5000				uni013				dmg%		110	160	hit-skill	8	5	8	res-pois		20	25	res-cold		20	25	all-stats		3	5																													0
Sandking	100	1		2		26	23	btx	battle axe			5	5000	oran	oran		uni014				dmg%		120	170	fire-thorns		15	30	dmg-fire		16	28	att		100	150	reduce-ac		25	25																													0
Nova Spine	100	1		2		32	28	gax	great axe			5	5000	cblu	cblu		uni015				dmg%		140	200	hit-skill	44	15	9	res-cold		25	30	res-cold-max		5	5	dmg-ltng		1	125	sock		1	2																									0
Curseweaver	100	1		2		37	32	gix	giant axe			5	5000				uni016				dmg%		175	225	hit-skill	71	7	15	swing2		20	30	res-curs-len		25	25	bar		1	1	oskill	axe mastery	1	3																									0
Threat of Storms	100	1		2		44	40	9la	military axe			5	5000	dgry	dgry		uni017				dmg%		175	225	dmg-cold	200	25	40	dmg-ltng		1	150	dmg-fire		40	100	res-all		25	25	oskill	57	3	5	pierce-ltng		3	7																					0
Grandiose Dreams	100	1		2		46	44	9ba	bearded axe			5	5000				uni018				dmg%		180	230	mag%		20	40	dmg-max		40	60	allskills		1	1	crush		20	40	hp		30	60	move2		25	25																					0
Spirit Naga	100	1		2		50	47	9bt	tabar			5	5000	lgry	lgry		uni019				dmg%		190	240	rep-dur	18			ethereal		1	1	dmg-demon		150	150	res-fire		25	25	res-fire-max		5	10	bar		1	3	manasteal		5	8																	0
Tonstrike	100	1		2		55	50	9ga	gothic axe			5	5000	oran	oran		uni020				dmg%		200	250	swing3		30	30	str/lvl	4			deadly		25	25	hit-skill	225	22	17	dru		1	2	pierce-fire		6	12																					0
Mythslayer	100	1		2		57	53	9gi	ancient axe			5	5000	dgld	dgld		uni021				dmg%		150	200	dmg%/lvl	12			all-stats		15	15	swing2		25	25	att%		30	50	allskills		1	1	charged	142	20	35	balance2		20	20																	0
Werewolf Slayer	100	1		1		58	53	7la	Feral Axe			5	5000	cblu	cblu		uni022				dmg%/lvl	16			dmg-min		25	35	allskills		1	1	swing3		35	35	move3		40	40	lifesteal		5	8	oskill	Wearwolf	8	20	oskill	Shape Shifting	8	20	dmg%		100	125													0
Swords , 1-Handed																																																																					0
Deviljack	100	1		2		8	5	ssd	short sword			5	5000	lgry	lgry		uni023				dmg%		100	150	dmg-demon		100	100	red-mag		2	3	hp%		2	5	heal-kill		2	3																													0
Briarblade	100	1		2		12	8	scm	scimitar			5	5000	dgrn	dgrn		uni024				dmg%		100	150	dmg-pois	250	100	100	openwounds		25	25	heal-kill		3	5	deadly		25	25	pierce-pois		2	4																									0
Chromablade	100	1		2		15	10	sbr	saber			5	5000	whit	whit		uni025				dmg%		100	150	ease		-100	-100	light		7	7	dmg-norm		5	10	gethit-skill	36	15	7																													0
Fiendslayer	100	1		2		18	13	flc	falshion			5	5000	oran	oran		uni026				dmg%		120	170	dmg-demon		200	200	att-demon		200	200	demon-heal		5	8	swing2		20	20	res-all		20	20																									0
Irksome Edge	100	1		2		22	17	crs	crystal sword			5	5000				uni027				dmg%		130	180	hit-skill	42	8	7	manasteal		3	5	lightningskill		1	1	cast1		15	15																													0
Vanquisher	100	1		2		26	22	bsd	broad sword			5	5000	blac	blac		uni028				dmg%		135	185	crush		25	25	lifesteal		5	7	swing2		15	15	hp		35	50	oskill	sacrifice	1	3																									0
Winterswipe	100	1		2		31	25	lsd	long sword			5	5000	lblu	lblu		uni029				dmg%		150	200	dmg-cold	75	24	56	cold-thorns		15	25	swing2		15	25	aura	114	1	3	res-cold		25	35																									0
Warrior Untamed	100	1		2		36	32	wsd	war sword			5	5000				uni030				dmg%		200	250	oskill	shout	1	1	oskill	battle orders	1	1	oskill	battle command	1	1	swing2		25	25	enr%		7	15																									0
Cursebreaker	100	1		2		29	25	9ss	gladius			5	5000				uni031				dmg%		180	230	swing2		20	20	gethit-skill	66	8	13	aura	109	6	9	str		15	15	res-fire		20	40	hp		40	60																					0
Deathfoe	100	1		2		31	27	9sm	cutlass			5	5000	dblu	dblu		uni032				dmg%		185	235	hit-skill	55	7	13	pierce-cold		3	5	dmg-undead		250	250	dmg-norm		15	30	dmg-cold	200	55	75	res-cold		35	35	nofreeze		1	1																	0
Death of a Thousand Cuts	100	1		2		44	38	9sb	shamshir			5	5000	oran	oran		uni033				dmg%		225	275	wounds/lvl	11			crush/lvl	4			swing3		20	30	oskill	277	6	6	lifesteal		4	6	red-dmg%		8	12																					0
Song of the Damned	100	1		2		47	40	9fc	tulwar			5	5000	lgry	lgry		uni034				dmg%		190	240	dmg/lvl	4			oskill	revive	1	1	oskill	skeleton mastery	5	8	dmg-und/lvl	32			dex%		10	15	swing2		25	25																					0
Serpent's Sharp	100	1		2		48	42	9cr	dimensional blade			5	5000				uni035				dmg%		195	245	rep-dur	15			heal-kill		12	15	res-all		25	35	hp		75	75	dmg-pois	200	1677	1677	pierce-pois		10	20																					0
Dread of the Blade	100	1		2		48	44	9bs	battle sword			5	5000	dyel	dyel		uni036				dmg%		200	250	dmg-max		25	55	swing2		30	30	allskills		1	1	thorns		112	144	oskill	sword mastery	3	3	block3		40	40	manasteal		5	7																	0
Bane of All Gods	100	1		2		51	47	9ls	rune sword			5	5000	blac	blac		uni037				dmg%		215	250	dmg-norm		15	30	allskills		1	1	all-stats		10	20	abs-mag		12	20	dmg-demon		100	100	att%		25	25	sock		1	3																	0
Dark Descent	100	1		2		52	49	9wd	ancient sword			5	5000	blac	lgry		uni038				dmg%		220	265	swing2		20	20	res-pois		35	60	res-ltng		20	40	nofreeze		1	1	oskill	slow missiles	3	5	enr		15	15	cast2		20	30	regen		12	18													0
Rabbit Slayer	100	1		1		57	49	7ss	Falcata			5	5000				uni039				dmg%		175	250	move2		25	25	all-stats		10	15	swing3		50	50	rep-dur	700			rip		1	1																									0
Krakken	100	1		1		61	57	7fc	Hydra Edge			5	5000	dblu	dblu		uni040				dmg%		200	250	dmg-norm		20	40	gethit-skill	84	15	27	res-mag		45	55	sock		2	2	pierce-mag		10	15	extra-mag		3	5																					0
King's Bounty	100	1		1		75	70	7bs	Conquest Sword			5	5000				uni041				dmg%		200	300	gold%		75	100	mag%		50	75	swing2		25	25	manasteal		8	8	str		20	20	hp%		-5	-5																					0
Call of Heroes	100	1		1		86	80	7wd	Mythical Sword			5	5000				uni042				dmg%		200	300	block		25	25	dmg-elem	400	75	125	nofreeze		1	1	abs-mag%		20	20	regen-stam		300	300	cast2		25	25	oskill	Find Item	6	6																	0
Swords , 2-Handed																																																																					0
Deathlust	100	1		2		16	12	2hs	2-handed sword			5	5000	blac	dgry		uni043				dmg%		100	150	deadly		25	25	crush		15	15	swing2		20	20	skill	69	1	2																													0
Coaldark	100	1		2		23	20	clm	claymore			5	5000	lgry	lgry		uni044				dmg%		110	160	stupidity		3	3	skilltab	13	1	3	swing1		10	15	att		30	60	mana-kill		1	3																									0
Hellmessenger	100	1		2		27	24	gis	giant sword			5	5000	oran	oran		uni045				dmg%		125	175	dmg-demon		100	100	dmg-fire		10	25	res-fire		10	20	abs-fire		4	7	swing2		25	25																									0
Oldfather	100	1		2		31	27	bsw	bastard sword			5	5000				uni046				dmg%		125	175	dmg/lvl	5			all-stats		7	10	hp		20	30	rep-dur	2			dur%		20	20																									0
Warrior's Challenge	100	1		2		32	29	flb	flamberge			5	5000				uni047				dmg%		135	190	skill	137	3	5	skill	146	3	5	lifesteal		3	5	manasteal		3	5	swing2		20	20	bar		1	1																					0
Arctic Edge	100	1		2		35	32	gsd	great sword			5	5000	cblu	cblu		uni048				dmg%		165	200	dmg-cold	300	6	10	hit-skill	45	9	17	res-cold		30	50	coldskill		1	1																													0
Sweet Agony	100	1		2		41	38	92h	espadon			5	5000	cred	cred		uni049				dmg%		190	240	regen		6	12	heal-kill		2	4	regen-mana		50	50	gethit-skill	67	7	13	att%		20	40	sock		2	2																					0
Sudden Epiphany	100	1		2		49	46	9cm	dacian falx			5	5000	oran	oran		uni050				dmg%		195	245	swing3		25	25	enr		25	25	lifesteal		6	8	manasteal		6	8	bar		2	2	skilltab	14	1	3																					0
The Mangler	100	1		2		52	49	9gs	tusk sword			5	5000	dgld	dgld		uni051				dmg%		200	250	dmg%/lvl	8			deadly		25	40	crush		25	50	rep-dur	14			dur		50	50	openwounds		33	66																					0
No Quarter Given	100	1		2		56	51	9b9	gothic sword			5	5000	cgrn	cgrn		uni052				dmg%		210	255	swing3		20	30	str%	 	12	15	slow		20	20	move3		30	30	block3		30	30																									0
Demand for Justice	100	1		2		58	54	9fb	zweihander			5	5000	whit	whit		uni053				dmg%		215	260	allskills		1	1	pierce-ltng		4	8	demon-heal		5	12	kill-skill	74	7	5	ac		75	75	oskill	276	12	15	balance2		20	20																	0
The Quick and the Dead	100	1		2		59	56	9gd	executioner sword			5	5000	cred			uni054				dmg%		220	260	swing3		40	50	allskills		1	2	oskill	sword mastery	1	3	thorns		225	375	regen		12	18																									0
Blade of Mythos	100	1		1		59	54	72h	Legend Sword			5	5000				uni055				dmg%		200	300	red-dmg%		15	20	res-all		25	35	hp		50	50	swing2		25	25	att%		50	100	noheal		1	1	pierce-phys		10	20																	0
Vorpal Blade	100	1		1		65	60	7cm	Highland Blade			5	5000	cblu	cblu		uni056				dmg%		225	275	crush		25	50	ignore-ac		1	1	deadly/lvl	13			heal-kill		15	25	oskill	whirlwind	10	12																									0
Holy Avenger	100	1		1		79	75	7fb	Colossal Sword			5	5000	whit			uni057				dmg%		165	200	dmg%/lvl	10			aura	125	5	7	ac		200	500	swing2		20	20	rep-dur	500			hit-skill	121	8	24																					0
Clubs																																																																					0
Quickfeint	100	1		2		12	7	clb	club			5	5000				uni058				dmg%		100	150	dmg-norm		3	6	swing2		15	20	block		15	20	move1		15	20																													0
Oakheart	100	1		2		15	9	spc	spiked club			5	5000				uni059				dmg%		110	160	red-dmg		4	8	red-mag		3	6	hp		15	30	regen		5	10																													0
Gladiator's Strike	100	1		2		48	40	9cl	cudgel			5	5000	oran	oran		uni060				dmg%		175	230	swing2		25	25	res-ltng		45	55	hit-skill	48	12	17	dmg-ltng		1	225	allskills		1	1	pierce-ltng		3	5																					0
Eater of Souls	100	1		2		51	46	9sp	barbed club			5	5000	dred	dred		uni061				dmg%		200	265	swing2		20	30	oskill	mace mastery	3	5	lifesteal		4	7	dmg-norm		20	45	block		15	25	hit-skill	93	15	33																					0
Hammers , 1-Handed																																																																					0
Stunhammer	100	1		2		37	32	whm	war hammer			5	5000				uni062				dmg%		125	200	dmg/lvl	8			slow		50	50	swing2		20	20	pal		1	1	oskill	mace mastery	1	4	balance2		20	20																					0
Blasthammer	100	1		2		55	50	9wh	battle hammer			5	5000	dyel	dyel		uni063				dmg%		200	255	swing3		30	30	allskills		1	1	skill	243	3	5	gethit-skill	84	12	7	ignore-ac		1	1	sock		1	2																					0
Hammers , 2-Handed																																																																					0
Spiritcrusher	100	1		2		28	25	mau	maul			5	5000	oran	oran		uni064				dmg%		150	200	dmg-norm		25	50	dmg-undead		250	250	rip		1	1	oskill	mace mastery	2	4	swing1		15	15																									0
Vilifier	100	1		2		36	33	gma	great maul			5	5000	dgry	dgry		uni065				dmg%		175	200	oskill	find item	1	1	rep-dur	4			res-fire		25	25	res-ltng		25	25	mag%/lvl	4			move2		20	20																					0
Readiness for War	100	1		2		52	48	9m9	war club			5	5000				uni066				dmg%		200	300	swing2		30	30	oskill	mace mastery	10	10	allskills		2	2	crush/lvl	6			dex%		5	5	move3		30	30																					0
Burning Desire	100	1		2		58	55	9gm	martel de fer			5	5000	cred	cred		uni067				dmg%		225	300	gethit-skill	62	3	30	extra-fire		10	15	res-fire		35	50	fire-thorns		66	132	dmg-fire		100	200	dmg-to-mana		10	10	regen-mana		50	75																	0
Maces																																																																					0
Lesson in Pain	100	1		2		15	13	mac	mace			5	5000				uni068				dmg%		100	150	thorns		24	24	gethit-skill	66	3	11	dmg-norm		3	6	pal		1	1																													0
Endless Sleep	100	1		2		22	20	mst	morning star			5	5000	cblu	cblu		uni069				dmg%		125	175	knock		3	3	stupidity		2	2	hit-skill	72	8	7	res-all		15	25	block		10	15																									0
Quickening	100	1		2		32	29	fla	flail			5	5000	whit	whit		uni070				dmg%		150	200	enr%		10	10	oskill	258	2	3	move2		25	25	cast2		15	15	mana-kill		3	5	mag%/lvl	3																							0
Demise of the Weak	100	1		2		48	45	9ma	flanged mace			5	5000	dgry	dgry		uni071				dmg%		180	230	regen		10	15	block		15	25	block2		20	20	balance3		50	50	att		225	225	charged	57	35	15																					0
Genoa's Trust	100	1		2		51	49	9mt	jagged star			5	5000	oran	oran		uni072				dmg%		190	240	res-all		20	40	pierce-ltng		10	20	hit-skill	53	15	23	freeze		3	3	mana		50	50	gethit-skill	40	3	10																					0
Frantic Distress	100	1		2		56	53	9fl	knout			5	5000	lgrn	lgrn		uni073				dmg%		200	250	ac		75	100	swing3		30	30	move3		40	40	dex		25	25	gethit-skill	58	5	10	sock		2	2	dmg-min		50	60																	0
Fist of Lachdonnan	100	1		1		59	55	7ma	Reinforced Mace			5	5000	oran	oran		uni074				dmg%		200	275	enr		25	25	aura	102	8	12	fireskill		1	2	dmg-demon		200	200	pierce-fire		5	10	dmg-fire		75	200																					0
Scepters																																																																					0
Ambercall	100	1		2		12	8	scp	scepter			5	5000	cred	cred		uni075				dmg%		100	150	fire-min		6	9	fire-max		15	20	oskill	shout	1	1	vit		10	10	dex		10	10																									0
Angel's Grace	100	1		2		25	22	gsc	grand scepter			5	5000	whit	whit		uni076				dmg%		130	180	dmg-undead		150	150	dmg-demon		200	200	swing2		20	20	balance2		15	15	red-dmg%		10	15	magicskill		1	1																					0
Dawnskein	100	1		2		32	29	wsp	war scepter			5	5000	lgld	lgld		uni077				dmg%		150	200	dmg-norm		10	20	allskills		1	1	lifesteal		5	8	light		3	7	mana/lvl	8			hp/lvl	8																							0
Heavenly Wrath	100	1		2		42	39	9sc	rune scepter			5	5000	whit	whit		uni078				dmg%		190	240	skill-rand	3	96	125	skill-rand	2	96	125	skill-rand	2	96	125	dmg/lvl	5			fire-thorns		35	50	cold-thorns		35	50																					0
Dragon Mephit	100	1		2		52	48	9qs	holy water sprinkler			5	5000	cgrn	cgrn		uni079				dmg%		200	250	dmg-fire		100	200	pierce-fire		10	15	cast2		30	30	mana		50	50	dex		10	10	mag%		35	50																					0
Lord of Riddles	100	1		2		58	54	9ws	divine scepter			5	5000				uni080				dmg%		225	260	dmg-max		25	35	heal-kill		5	8	regen		5	5	skill-rand	4	96	125	skill-rand	3	96	125	allskills		2	2	res-all		20	20																	0
Wrath of Heaven	100	1		1		82	77	7qs	Seraph Rod			5	5000	whit			uni081				dmg%		200	300	swing2		20	30	extra-fire		10	20	oskill	Fire Wall	8	12	oskill	fire mastery	8	12	abs-fire		15	30	res-all		35	50	block		15	20																	0
Knives																																																																					0
Darkflayer	100	1		2		9	6	dgr	dagger			5	5000	lgrn	lgrn		uni082				dmg-norm		7	15	pierce-pois		3	5	poisonskill		1	1	res-all		10	15	oskill	222	2	4																													0
Prisoner's Anguish	100	1		2		17	14	dir	dirk			5	5000				uni083				dmg%		150	200	dmg-max		6	10	deadly		25	25	lifesteal		4	7	skill	66	1	3	skill	72	1	3	skill	73	1	3																					0
Zenkiller	100	1		2		27	22	kri	kris			5	5000	oran	oran		uni084				dmg%		175	200	slow		10	10	cast1	 	10	10	sock		2	2	res-mag		20	25	extra-mag		15	15																									0
Deathprick	100	1		2		32	29	bld	blade			5	5000	dgry	lgry		uni085				dmg-norm		15	30	dmg-pois	100	145	145	deadly		15	25	crush		15	25	block		10	15	block1		15	15	move1		15	15																					0
Chimera's Claw	100	1		2		42	37	9dg	poignard			5	5000	dgry	dgry		uni086				dmg%		170	220	res-curs-len		25	25	res-fire		25	30	deadly		25	25	dex%		15	15	hit-skill	49	5	13	lifesteal		4	7																					0
Sweetwhisper	100	1		2		47	42	9di	rondel			5	5000	lblu	lblu		uni087				coldskill		1	2	dmg%		175	225	heal-kill		5	7	cast1		15	15	oskill	32	3	5	mag%		25	25	vit%		3	5																					0
Basalisk's Touch	100	1		2		52	46	9kr	cinquedeas			5	5000	lgld	lgld		uni088				dmg%		180	230	slow		25	25	dmg-pois	75	657	657	oskill	dim vision	5	7	ac		100	100	ignore-ac		1	1	dmg/lvl	6			dmg-demon		125	125																	0
Falcon Talon	100	1		2		58	50	9bl	stilleto			5	5000	lgry	lgry		uni089				dmg%		190	240	swing3		30	30	move2		30	30	charged	teleport	250	1	red-mag	 	12	18	deadly/lvl	12			str%		5	10	res-cold		25	50																	0
Fall of Myth Drannor	100	1		1		68	62	7di	Mithral Point			5	5000				uni090				dmg-min		20	40	dmg-max		75	100	regen		15	15	deadly		35	35	block		25	50	block3		25	50	pierce-phys		20	25	mana%		25	25																	0
Spears																																																																					0
Zealot's Branch	100	1		2		16	12	spr	spear			5	5000				uni091				dmg%		100	150	swing1		20	20	skill	106	3	3	res-pois		15	15	vit		10	10	str		10	10																									0
Deceiver's Device	100	1		2		19	15	tri	trident			5	5000				uni092				dmg%		110	165	move2		25	25	hit-skill	48	20	5	res-ltng		35	35	lifesteal		5	5	att		225	225																									0
Fangtree	100	1		2		25	20	brn	brandistock			5	5000	dgry	dgry		uni093				dmg%		130	180	deadly/lvl	8			gethit-skill	81	25	3	sock		2	3	thorns		10	15																													0
Ruemonger	100	1		2		28	26	spt	spetum			5	5000				uni094				dmg%		150	200	dmg-norm		10	20	stupidity		1	1	oskill	spear mastery	2	2	lightningskill		1	1	extra-ltng		15	15	pierce-ltng		20	20																					0
Woodclaw	100	1		2		33	30	pik	pike			5	5000				uni095				dmg%		180	200	dmg-norm		10	40	mana-kill		2	4	swing2		30	30	sock		1	6	vit		15	15	cast3		25	35																					0
Mandrake	100	1		2		38	35	9sr	war spear			5	5000	blac	dgry		uni096				dmg%		180	230	heal-kill		8	8	lifesteal		6	8	hp		65	65	swing2		20	20	manasteal		4	6	hit-skill	49	9	15																					0
Frostband	100	1		2		42	39	9tr	fuscina			5	5000	cblu	cblu		uni097				dmg%		185	235	hit-skill	44	4	17	dmg-cold	175	200	250	allskills		1	1	str		15	15	enr		25	25	res-cold		25	25	res-fire		30	50																	0
Fear and Loathing	100	1		2		47	44	9br	war fork			5	5000	dgld	dgld		uni098				dmg%		190	240	dmg-norm		40	80	gethit-skill	77	6	4	hit-skill	86	10	3	swing3		30	30	manasteal		5	8	move2		20	20																					0
Dreams of Empire	100	1		2		51	47	9st	yari			5	5000	lgry	lgry		uni099				dmg%		205	255	crush		25	25	balance3		40	40	addxp		10	10	hp%		5	15	mag%		40	50	hit-skill	93	7	13	gold%/lvl	24																			0
Jouster's Boast	100	1		2		55	50	9p9	lance			5	5000				uni100				dmg%		215	260	bar		2	2	swing3		25	25	lifesteal		12	12	oskill	spear mastery	3	3	indestruct		1	1	dmg/lvl	16																							0
Breath of Fire	100	1		1		62	58	7tr	Stygian Pike			5	5000	dred	dred		uni101				dmg%		200	250	swing3		30	30	oskill	Hydra	40	40	res-fire		75	75	pierce-fire		30	30	abs-fire%		25	25																									0
Spirit Light	100	1		1		75	72	7st	Ghost Spear			5	5000	lblu	lblu		uni102				ethereal		1	1	indestruct		1	1	dmg%		200	300	ease		25	25	light		7	7	swing3		50	50	lifesteal		12	15	gethit-skill	60	50	12	hit-skill	64	12	15													0
Polearms																																																																					0
Knave's Ascendence	100	1		2		13	10	bar	Bardiche			5	5000				uni103				dmg%		100	150	ac		25	50	str		15	15	dex		10	10	vit		10	10	hp		35	35																									0
Oreseeker	100	1		2		17	14	vou	Voulge			5	5000	blac	blac		uni104				dmg%		115	165	gold%		150	150	mag%		25	25	charged	142	100	5	ease		-35	-35	heal-kill		1	3																									0
Rebuker	100	1		2		22	19	scy	Scythe			5	5000				uni105				dmg%		120	170	magicskill		1	1	slow		20	20	move2		20	20	extra-mag		2	4	res-all		15	25																									0
Landsplitter	100	1		2		27	24	pax	Poleaxe			5	5000	dgrn	dgrn		uni106				dmg%		135	185	swing2		30	30	heal-kill		5	8	skill	235	2	4	skill	244	2	4	skilltab	16	1	2																									0
Ripskin	100	1		2		31	28	hal	Halberd			5	5000				uni107				dmg%		150	200	lifesteal		7	7	manasteal		7	7	regen		5	5	regen-mana		25	25	res-cold		15	25	res-ltng		15	25																					0
Slayer's Debt	100	1		2		36	32	wsc	war scythe			5	5000	oran	oran		uni108				dmg%		175	200	dmg-norm		15	30	allskills		1	1	regen		-5	-5	ease		20	20	swing1		15	15	oskill	corpse explosion	1	4																					0
Fire Mephit	100	1		2		41	38	9b7	lochaber axe			5	5000	cred	cred		uni109				dmg%		180	230	dmg%/lvl	9			dmg-fire		1	200	gethit-skill	46	12	13	res-fire		35	45	swing2		20	20	fireskill		2	2																					0
Sunderblight	100	1		2		46	42	9vo	bill			5	5000	lgry	lgry		uni110				dmg%		185	235	dmg-dem/lvl	12			att-demon		200	200	demon-heal		20	25	hp		50	50	res-all		25	35	gethit-skill	87	7	3																					0
Survival Instinct	100	1		2		47	45	9s8	battle scythe			5	5000	whit	whit		uni111				dmg%		190	240	red-dmg%		15	25	red-mag%		20	25	balance2		30	30	move2		20	20	swing2		25	25	dmg-cold	100	50	80																					0
Trial by Fire	100	1		2		52	49	9pa	partizan			5	5000				uni112				dmg%		200	250	dmg-fire		75	150	pierce-fire		15	20	aura	102	4	7	oskill	fire wall	5	8	res-fire-max		5	15	res-fire		20	50	sock		2	2																	0
Father of Nations	100	1		2		56	51	9h9	bec-de-corbin			5	5000	dgld	dgld		uni113				dmg%		210	260	all-stats		25	25	hp%		15	15	mana%		15	15	lifesteal		8	11	manasteal		6	9	swing3		40	40	dmg-norm		50	100																	0
Dawn of the Dead	100	1		2		58	53	9wc	grim scythe			5	5000	dgry	dgry		uni114				dmg%		220	270	swing3		35	35	oskill	skeleton mastery	5	8	oskill	revive	5	8	reanimate	9	15	20	dmg-cold	200	35	70	slow		20	20																					0
Kydra's Judgement	100	1		1		64	60	7vo	Colossus Voulge			5	5000	lblu	lblu		uni115				dmg%		200	250	dmg%/lvl	8			hit-skill	45	20	8	res-cold		45	45	dmg-cold		75	125	freeze		1	3	pierce-cold		25	40	str%		10	15																	0
Dreadfear	100	1		1		82	77	7h7	Great Poleaxe			5	5000				uni116				dmg%		300	450	sock		3	6	hit-skill	77	8	17	gethit-skill	91	12	5	vit		100	100																													0
Staves																																																																					0
Puzzler's Mystery	100	1		2		7	6	sst	short staff			5	5000	lpur	lpur		uni117				dmg-norm		5	10	skill-rand	2	36	44	skill-rand	2	36	44	mana		25	25	swing2		20	20																													0
Puppeteer's Staff	100	1		2		15	12	lst	long staff			5	5000				uni118				dmg%		110	150	skill-rand	2	36	50	skill-rand	2	36	50	skill-rand	2	36	50	sor		1	1	cast2		20	20																									0
Sage's Retort	100	1		2		20	17	cst	gnarled staff			5	5000	cblu	lblu		uni119				dmg%		125	175	gethit-skill	44	7	5	gethit-skill	42	5	12	regen-mana		50	75	mana%		5	10	enr%		5	10	res-cold		10	20																					0
Strange Alchemy	100	1		2		26	23	bst	battle staff			5	5000				uni120				oskill	warmth	1	3	oskill	frozen armor	1	3	oskill	bone armor	1	3	oskill	cyclone armor	1	3	dmg-norm		15	30	swing2		20	20	dmg%		100	100																					0
Riddlesolver	100	1		2		32	29	wst	war staff			5	5000				uni121				dmg%		150	200	skill-rand	2	36	65	skill-rand	3	36	65	skill-rand	3	36	65	sor		1	1	cast2		25	25	balance2		30	30																					0
Staff of Shadows	100	1		2		38	36	8ss	jo staff			5	5000	blac	blac		uni122				skill-rand	3	36	65	skill-rand	3	36	65	skill-rand	3	36	65	cast2		20	20	gethit-skill	71	11	2	red-dmg		8	12	stam		75	75	allskills		1	2																	0
Silence of the Sphinx	100	1		2		41	39	8ls	quarterstaff			5	5000				uni123				skill-rand	2	36	65	skill-rand	2	36	65	skill-rand	2	36	65	sor		2	2	dmg-to-mana		15	15	addxp		3	5	cheap		10	15	mag%		60	60	sock		2	2													0
Rubydawn	100	1		2		46	42	8cs	cedar staff			5	5000	cred	cred		uni124				skill-rand	4	66	95	skill-rand	3	66	95	skill-rand	2	66	95	nec		2	2	cast2		20	20	mana%		15	15	oskill	fire mastery	3	6	oskill	47	6	8																	0
Grace of Isis	100	1		2		51	47	8bs	gothic staff			5	5000	dgld	dgld		uni125				dmg%		200	265	dru		1	3	skill-rand	3	221	250	skill-rand	2	221	250	skill-rand	3	221	250	dmg-norm		30	60	swing3		40	40	ignore-ac		1	1	crush		20	20													0
Survivor's Sonata	100	1		2		55	50	8ws	rune staff			5	5000				uni126				skill	48	3	5	skill	60	3	5	hp		75	75	cast2		25	25	allskills		2	3	addxp		5	5	gold%		200	200	mag%/lvl	10																			0
Jadrik's Torment	100	1		1		55	49	6ss	Walking Stick			5	5000				uni127				enr		35	35	cast3		40	40	move3		50	50	dmg%		200	300	swing3		55	55	str		-50	-50	hp		200	200																					0
Gorgon Strength	100	1		1		58	55	6ls	Stalagmite			5	5000	oran	oran		uni128				str		75	75	mana		125	175	sor		2	4	mag%/lvl	8			res-all		25	25	ac/lvl	40																											0
